Date,Close
3/2/2015,43.55
3/3/2015,43.4
3/4/2015,43.6
3/5/2015,43.32
3/6/2015,43.03
3/9/2015,43.05
3/10/2015,41.93
3/11/2015,41.94
3/12/2015,42.38
3/13/2015,41.86
3/16/2015,42.23
3/17/2015,42.36
3/18/2015,42.97
3/19/2015,42
3/20/2015,43.06
3/23/2015,43.29
3/24/2015,43.57
3/25/2015,43.16
3/26/2015,43.03
3/27/2015,42.24
3/30/2015,42.1
3/31/2015,42.85
4/1/2015,43.23
4/2/2015,43.06
4/6/2015,43.37
4/7/2015,43.64
4/8/2015,43.58
4/9/2015,43.9
4/10/2015,43.95
4/13/2015,43.99
4/14/2015,44.31
4/15/2015,45.45
4/16/2015,45.94
4/17/2015,45.58
4/20/2015,45.95
4/21/2015,45.56
4/22/2015,45.68
4/23/2015,46.15
4/24/2015,46.11
4/27/2015,46.4
4/28/2015,46.66
4/29/2015,46.71
4/30/2015,46.16
5/1/2015,46.05
5/4/2015,46.41
5/5/2015,46.09
5/6/2015,45.83
5/7/2015,45.59
5/8/2015,46.01
5/11/2015,45.93
5/12/2015,46.06
5/13/2015,46.22
5/14/2015,46.25
5/15/2015,46.05
5/18/2015,45.73
5/19/2015,45.87
5/20/2015,45.81
5/21/2015,45.99
5/22/2015,45.69
5/26/2015,44.79
5/27/2015,44.95
5/28/2015,44.56
5/29/2015,43.57
6/1/2015,43.28
6/2/2015,43.82
6/3/2015,44.04
6/4/2015,43.51
6/5/2015,43.71
6/8/2015,43.15
6/9/2015,44.11
6/10/2015,44.48
6/11/2015,44.44
6/12/2015,43.85
6/15/2015,44.03
6/16/2015,44.09
6/17/2015,44.02
6/18/2015,43.83
6/19/2015,43.14
6/22/2015,43.55
6/23/2015,43.9
6/24/2015,43.78
6/25/2015,43.96
6/26/2015,44.1
6/29/2015,42.83
6/30/2015,42.51
7/1/2015,42.59
7/2/2015,42.33
7/6/2015,42.13
7/7/2015,41.57
7/8/2015,40.96
7/9/2015,40.75
7/10/2015,41.26
7/13/2015,41.15
7/14/2015,40.92
7/15/2015,40.75
7/16/2015,41.08
7/17/2015,40.81
7/20/2015,40.55
7/21/2015,40.5
7/22/2015,40.13
7/23/2015,39.97
7/24/2015,39.69
7/27/2015,39.1
7/28/2015,39.57
7/29/2015,40.61
7/30/2015,40.45
7/31/2015,40.41
8/3/2015,39.97
8/4/2015,40.09
8/5/2015,40.34
8/6/2015,40.26
8/7/2015,39.92
8/10/2015,40.96
8/11/2015,40.39
8/12/2015,40.55
8/13/2015,39.84
8/14/2015,39.65
8/17/2015,39.52
8/18/2015,40.07
8/19/2015,39.65
8/20/2015,38.92
8/21/2015,38.16
8/24/2015,37.03
8/25/2015,37.68
8/26/2015,38.85
8/27/2015,39.81
8/28/2015,39.99
8/31/2015,39.8
9/1/2015,38.72
9/2/2015,38.72
9/3/2015,39.21
9/4/2015,38.53
9/8/2015,39.34
9/9/2015,39.17
9/10/2015,39.39
9/11/2015,39.11
9/14/2015,39.02
9/15/2015,39.29
9/16/2015,40.35
9/17/2015,39.93
9/18/2015,39.13
9/21/2015,39.68
9/22/2015,38.85
9/23/2015,38.32
9/24/2015,38.34
9/25/2015,38.73
9/28/2015,38.2
9/29/2015,38.28
9/30/2015,39.42
10/1/2015,39.75
10/2/2015,39.2
10/5/2015,40.13
10/6/2015,40.51
10/7/2015,40.93
10/8/2015,41.14
10/9/2015,40.98
10/12/2015,40.78
10/13/2015,40.66
10/14/2015,40.49
10/15/2015,40.63
10/16/2015,40.59
10/19/2015,40.58
10/20/2015,40.93
10/21/2015,40.55
10/22/2015,41.27
10/23/2015,41.28
10/26/2015,41.14
10/27/2015,41.38
10/28/2015,41.95
10/29/2015,41.88
10/30/2015,41.02
11/2/2015,41.33
11/3/2015,41.44
11/4/2015,41.16
11/5/2015,41.06
11/6/2015,41.1
11/9/2015,40.98
11/10/2015,41.39
11/11/2015,41.26
11/12/2015,40.65
11/13/2015,40.05
11/16/2015,40.48
11/17/2015,40.81
11/18/2015,40.91
11/19/2015,41.1
11/20/2015,40.92
11/23/2015,40.75
11/24/2015,40.93
11/25/2015,40.86
11/27/2015,40.7
11/30/2015,40.82
12/1/2015,41.36
12/2/2015,41.19
12/3/2015,40.64
12/4/2015,41.02
12/7/2015,39.98
12/8/2015,39.1
12/9/2015,39.64
12/10/2015,39.62
12/11/2015,38.79
12/14/2015,38.74
12/15/2015,39.23
12/16/2015,39.93
12/17/2015,39.33
12/18/2015,39.22
12/21/2015,39.23
12/22/2015,39.18
12/23/2015,39.58
